TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 31 s.  Vaikams
11.10 	Septintas dangus (The Seventh Heaven). JAV. 1997. Drama. Rež. Harvey Laidman. Vaidina Stephen Collins, Catherine Hicks, Barty Watson, David Gallagher. II dalis. 5 s.  Serialas
12.05 	Fantazijų sala (Fantasy Island). JAV. 1998. Nuotykių serialas. 3 s. (k.)  Serialas
12.50 	Brangioji aš sumažinau vaikus  Serialas
13.35 	Eurolygos apžvalga. (k.)  Sportas
14.00 	Štokingeris (Stockinger). Austrija. 1995. Detektyvinė komedija. Rež. Jorg Grunler, Dagmar Damek. 13 s. (k.)  Serialas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė. 	Vaikams
14.45 	Digimonai (Digimon: Digital Monsters). JAV, Japonija, Prancūzija. 1999. Animacinis filmas. 43 s. (k.)  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 7 s.  Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 63 s.  Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 68 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 40 s.  Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas. 	Sportas
19.10 	Orai. 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė.	Laida
19.45 	TV3 atneš šventę!.  Kalėdinė akcija.	Žaidimas
19.50 	Moterų laimė. Žurnalas. Laidos vedėjos Algimanta Žukauskienė ir Nijolė 0želytė.  Laida   
20.25 	Amžinoji romantika. Arklių užkalbėtojas (The Horse Whisperer). JAV. 1998. Drama. Rež. Robert Redford. Vaidina Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest.	Filmas
22.15 	TV3 žinios.(Filmo pertraukoje).  Laida
23.40 	VRS kamera. Humoro laida. (k.)  Laida
24.05 	Pabaiga. 	
	
2001-12-18 - Antradienis
06.55 	Programa. 		
07.00 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 2 s. (k.)  Vaikams
07.25 	Be tabu. Infošou. (k.)  Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 38 s. (k.)  Serialas	
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 65 s. (k.)  Serialas
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 60 s. (k.)  Serialas
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 11 s. (k.)  Serialas
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 32 s.  Vaikams
11.10 	Robinzonai. Lietuva. 2001. Nuotykių šou. 11 dalis. (k.)  Laida
12.05 	Trys draugai ir picerija (Two Guys, a Girl, and a Pizza Place). JAV. 1998. Komedija. II dalis. 13, 14 s.  Serialas
12.50 	Brangioji aš sumažinau vaikus  Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 12 s.  Serialas
14.00 	Bukiausi Amerikos nusikaltėliai (America's Dumbest Criminals). JAV. Humoristinis serialas. III dalis. 15 s.  Serialas
14.25 	Bičiuliai (Sidekicks). JAV. 1986. Nuotykių serialas. 19 s. (k.)  Serialas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams
14.45 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 2 s. (k.)  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 8 s.  Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 64 s.  Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 69 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 41 s.  Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
