Balticum Platinum
-----
Sausis
-----
2025-01-01 - Trečiadienis
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (13-14) (Ukraina, 2019 m.) (N-7)
13:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7)
14:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (13) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (14) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (13-14) (Ukraina, 2019 m.) (N-7)
18:00 Draminis serialas „Naujokė“ (19) (Ukraina, 2019 m.) (N-7)
19:00 Draminis serialas „Naujokė“ (20) (Ukraina, 2019 m.) (N-7)
20:00 Fantastinis nuotykių filmas „Tvirtovė“ (Ukraina, 2017 m.) (N-7)
22:00 Detektyvinis draminis serialas „Aš netikiu“ (1) (Ukraina, 2021 m.) (N-7)
23:00 Detektyvinis draminis serialas „Aš netikiu“ (2) (Ukraina, 2021 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (13) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (14) (Ukraina, 2019 m.) (N-7)

2025-01-16 - Ketvirtadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (15-16) (Ukraina, 2019 m.) (N-7)
08:00 Karo drama „U311. Čerkasai“ (Ukraina, 2020 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (15) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (16) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (15-16) (Ukraina, 2019 m.) (N-7)
13:00 Draminis serialas „Naujokė“ (19) (Ukraina, 2019 m.) (N-7)
14:00 Draminis serialas „Naujokė“ (20) (Ukraina, 2019 m.) (N-7)
15:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7)
16:00 Karinis draminis serialas „Meilės šauksmas“ (4) (Ukraina, 2024 m.) (N-7)
17:00 Romantinis draminis serialas „Chameleonas“ (15) (Ukraina, 2019 m.) (N-7)
18:00 Romantinis draminis serialas „Chameleonas“ (16) (Ukraina, 2019 m.) (N-7)
19:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (15-16) (Ukraina, 2019 m.) (N-7)
20:00 Komedija „Smagioji iškyla“ (Ukraina, 2022 m.) (N-7)
22:00 Detektyvinis draminis serialas „Aš netikiu“ (3) (Ukraina, 2021 m.) (N-7)
23:00 Detektyvinis draminis serialas „Aš netikiu“ (4) (Ukraina, 2021 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (15) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (16) (Ukraina, 2019 m.) (N-7)

2025-01-17 - Penktadienis
07:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7)
09:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7)
