duo Star
-----
Rugpjūtis
-----
2026-08-10 - Pirmadienis
10:45 Švarus sunaikinimas. Trileris, drama, karinis. JAV, 2014
12:25 A komanda: Bad Time on the Border (S2 E4). Veiksmo, nuotykių, kriminalinis. JAV, 1983
13:10 1917. Veiksmo, drama, karinis. Anglija, 2019
15:10 Bastūnas, siuvėjas, kareivis, šnipas. Trileris, drama, mistinis. Anglija, 2011
17:10 A komanda: When You Coming Back, Range Rider? (S2 E5). Veiksmo, nuotykių, kriminalinis. JAV, 1983
17:55 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
20:00 Lapkričio žmogus. Nuotykių, veiksmo, trileris. JAV, 2014
21:45 Spartakas. Arenos dievai: The Bitter End (6 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
22:50 Koriolanas. Drama, trileris. Anglija, 2011

2026-09-04 - Penktadienis
02:50 Lėta televizija: Vaikščioti. Estija, 2020
03:25 Ką rodo "Filmzone"?
03:50 Duo Mix
08:45 Koriolanas. Drama, trileris. Anglija, 2011
10:45 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
12:50 A komanda: When You Coming Back, Range Rider? (S2 E5). Veiksmo, nuotykių, kriminalinis. JAV, 1983
13:35 Lapkričio žmogus. Nuotykių, veiksmo, trileris. JAV, 2014
15:20 Koriolanas. Drama, trileris. Anglija, 2011
17:20 A komanda: When You Comin' Back, Range Rider? (S2 E6). Veiksmo, nuotykių, kriminalinis. JAV, 1983
18:00 Vykdytojas. Kriminalinis, drama, trileris. JAV, 2017
20:00 Bado žaidynės: sakmė apie strazdą ir gyvatę. Veiksmo, karinis, nuotykių. JAV, 2023
22:35 Spartakas. Kraujas ir smėlis: Fugitivus (S2 E1). Veiksmo, nuotykių, drama. JAV, 2012
23:35 Aferistės. Komedija, kriminalinis, drama. JAV, 2019

2026-09-05 - Šeštadienis
01:20 Lėta televizija: Žygis po pelkes. Estija, 2021
03:00 Ką rodo "Filmzone"?
03:30 Duo Mix
09:55 Aferistės. Komedija, kriminalinis, drama. JAV, 2019
11:40 Vykdytojas. Kriminalinis, drama, trileris. JAV, 2017
